name,author_last,author_first,id
Orientalism,Said,Edward,139
More Tears to Cry,Sassoon,Jean,140
Data Scientists at Work,Sebastian Gutierrez,,141
"Argumentative Indian, The",Sen,Amartya,142
"Idea of Justice, The",Sen,Amartya,143
Rationality & Freedom,Sen,Amartya,144
Identity & Violence,Sen,Amartya,145
Image Processing & Mathematical Morphology,Shih,Frank,146
"Signal and the Noise, The",Silver,Nate,147
"Code Book, The",Singh,Simon,148
Simpsons & Their Mathematical Secrets,Singh,Simon,149
"Wealth of Nations, The",Smith,Adam,150
"Courtroom Genius, The",Sorabjee,,151
Burning Bright,Steinbeck,John,152
"Russian Journal, A",Steinbeck,John,153
Journal of a Novel,Steinbeck,John,154
Once There Was a War,Steinbeck,John,155
"Moon is Down, The",Steinbeck,John,156
"Winter of Our Discontent, The",Steinbeck,John,157
"Life in Letters, A",Steinbeck,John,158
"Grapes of Wrath, The",Steinbeck,John,159
Textbook of Economic Theory,Stonier,Alfred,160
"Amulet of Samarkand, The",Stroud,Jonathan,161
Structure & Interpretation of Computer Programs,Sussman,Gerald,162
Data Structures Using C & C++,Tanenbaum,Andrew,163
"Analysis, Vol I",Tao,Terence,164
Structure and Randomness,Tao,Terence,165
Principles of Communication Systems,Taub,Schilling,166
India from Midnight to Milennium,Tharoor,Shashi,167
"Great Indian Novel, The",Tharoor,Shashi,168
Bookless in Baghdad,Tharoor,Shashi,169
Elements of Information Theory,Thomas,Joy,170
Statistical Learning Theory,Vapnik,Vladimir,171
"Nature of Statistical Learning Theory, The",Vapnik,Vladimir,172
20000 Leagues Under the Sea,Verne,Jules,173
Birth of a Theorem,Villani,Cedric,174
Slaughterhouse Five,Vonnegut,Kurt,175
"New Machiavelli, The",Wells,H. G.,176
"Short History of the World, A",Wells,H G,177
"Devil's Advocate, The",West,Morris,178
Veil: Secret Wars of the CIA,Woodward,Bob,179
All the President's Men,Woodward,Bob,180
Dongri to Dubai,Zaidi,Hussain,181
"Judge, The",,,182
"Attorney, The",,,183
Murphy's Law,,,184
"World's Great Thinkers, The",,,185
Justice League: Throne of Atlantis,,,186
Justice League: The Villain's Journey,,,187
"Death of Superman, The",,,188
History of the DC Universe,,,189
Batman: The Long Halloween,,,190
Batman Handbook,,,191
